error rate;success probability
0.000000000000000;1.00000000000000
0.0100000000000000;0.999999999997946
0.0200000000000000;0.999999999995781
0.0300000000000000;0.999999999993228
0.0400000000000000;0.999999999991174
0.0500000000000000;0.999999999989508
0.0600000000000000;0.999999999986178
0.0700000000000000;0.999999999986011
0.0800000000000000;1.00000000001021
0.0900000000000000;1.00000000000666
0.100000000000000;1.00000000000666
0.110000000000000;1.00000000000333
0.120000000000000;0.999999999999778
0.130000000000000;0.999999999999667
0.140000000000000;1.00000000000000
0.150000000000000;0.999999999993061
0.160000000000000;0.999999999992895
0.170000000000000;0.999999999992895
0.180000000000000;1.00000000001354
0.190000000000000;1.00000000001388
0.200000000000000;1.00000000001377
0.210000000000000;1.00000000000688
0.220000000000000;1.00000000000658
0.230000000000000;1.00000000000294
0.240000000000000;0.999999999886527
0.250000000000000;0.999999997242356
0.260000000000000;0.999999945661111
0.270000000000000;0.999999132181881
0.280000000000000;0.999988794823577
0.290000000000000;0.999883219485467
0.300000000000000;0.999017761553416
0.310000000000000;0.993330249151887
0.320000000000000;0.963617625568417
0.330000000000000;0.845146294602315
0.340000000000000;0.530575669282255
0.350000000000000;0.133072695280259
0.360000000000000;0.00388297681806701
0.370000000000000;1.28450162329715e-6
0.380000000000000;8.45645852938636e-14
0.390000000000000;1.90255622152251e-27
0.400000000000000;2.22149666466393e-51
0.410000000000000;3.91413816306588e-90
0.420000000000000;2.23718932401183e-148
0.430000000000000;2.25437314162190e-230
0.440000000000000;1.06233205630517e-339
0.450000000000000;3.34510031870304e-479
0.460000000000000;4.32930147276935e-651
0.470000000000000;4.37941430927392e-857
0.480000000000000;1.48114302130671e-1098
0.490000000000000;1.24078555655928e-1376
0.500000000000000;2.70438677958425e-1692
